TenureGroup,用户数,流失人数,流失率,平均订单数,平均满意度,平均返现金额,平均优惠券使用次数
0-6个月,1967,689,0.35027961362480936,2.4743263853584136,3.1301474326385357,158.78820538891713,1.547025927808846
6-12个月,1585,157,0.09905362776025237,2.6586750788643534,2.9905362776025237,161.47633438485803,1.5741324921135647
12-24个月,1574,102,0.06480304955527319,3.644853875476493,3.0616264294790345,200.7232528589581,1.9720457433290979
24-48个月,500,0,0.0,3.698,3.084,225.29074,2.038
48个月以上,4,0,0.0,2.0,2.0,226.375,1.25
